mag,mapped_reads,mag_length,total_decon_sample_reads,sample_id,rpkm
samp_507,14962,3568765,43715340,samp_1300,9.590424680725552e-5
samp_2059,3091,3786874,50276606,samp_1301,1.623499643601821e-5
samp_2073,411,4337595,50276606,samp_1301,1.884633341131328e-6
samp_3937,251,4108029,50276606,samp_1301,1.2152741731376857e-6
samp_4305,140,3905470,50276606,samp_1301,7.129987644850481e-7
samp_4344,250,4351921,50276606,samp_1301,1.142596931304844e-6
samp_4380,2968,4773271,50276606,samp_1301,1.2367498102736785e-5
samp_468,297,4238051,50276606,samp_1301,1.393876571305715e-6
samp_471,482,4577490,50276606,samp_1301,2.0943713183449395e-6
samp_477,425,4344744,50276606,samp_1301,1.945623421264379e-6
samp_481,856,3602070,50276606,samp_1301,4.726674153892877e-6
samp_507,408,3568765,50276606,samp_1301,2.2739256460893243e-6
samp_2059,16152,3786874,50230030,samp_1302,8.491453060598862e-5
samp_2073,5780,4337595,50230030,samp_1302,2.652866534779243e-5
samp_3937,15106,4108029,50230030,samp_1302,7.320698855121858e-5
samp_4305,19178,3905470,50230030,samp_1302,9.77612105414258e-5
samp_4344,16347,4351921,50230030,samp_1302,7.478140526942749e-5
samp_4380,21396,4773271,50230030,samp_1302,8.923866399372086e-5
samp_468,26260,4238051,50230030,samp_1302,1.2335737113702047e-4
samp_471,5672,4577490,50230030,samp_1302,2.46686498402178e-5
samp_477,8220,4344744,50230030,samp_1302,3.766553910576936e-5
samp_481,824,3602070,50230030,samp_1302,4.5541950385193425e-6
samp_507,19631,3568765,50230030,samp_1302,1.0951182954850416e-4
samp_2059,2673,3786874,47741610,samp_1303,1.478499026415712e-5
samp_2073,262,4337595,47741610,samp_1303,1.2651884861998802e-6
samp_3937,427,4108029,47741610,samp_1303,2.177194926108403e-6
samp_4305,21,3905470,47741610,samp_1303,1.126286627969864e-7
samp_4344,741,4351921,47741610,samp_1303,3.56648288463073e-6
samp_4380,1110,4773271,47741610,samp_1303,4.870906870681885e-6
samp_468,43,4238051,47741610,samp_1303,2.125226468805623e-7
samp_471,582,4577490,47741610,samp_1303,2.6631677296817623e-6
samp_477,844,4344744,47741610,samp_1303,4.068939137205585e-6
samp_481,1025,3602070,47741610,samp_1303,5.9603897109174145e-6
samp_507,574,3568765,47741610,samp_1303,3.368967959773872e-6
samp_2059,20534,3786874,43171446,samp_1304,1.256018705355803e-4
samp_2073,3167,4337595,43171446,samp_1304,1.6912292002930103e-5
samp_3937,6390,4108029,43171446,samp_1304,3.603053925367741e-5
samp_4305,12696,3905470,43171446,samp_1304,7.530035303336636e-5
samp_4344,7398,4351921,43171446,samp_1304,3.9376465326225486e-5
samp_4380,11281,4773271,43171446,samp_1304,5.474379642635205e-5
samp_468,11347,4238051,43171446,samp_1304,6.201807485944932e-5
samp_471,4324,4577490,43171446,samp_1304,2.1880723884432144e-5
samp_477,3931,4344744,43171446,samp_1304,2.0957634227304693e-5
samp_481,767,3602070,43171446,samp_1304,4.932267476334325e-6
samp_507,9392,3568765,43171446,samp_1304,6.095980057787758e-5
samp_2059,1989,3786874,49605372,samp_1305,1.0588275117128891e-5
samp_2073,163,4337595,49605372,samp_1305,7.575475429775699e-7
samp_3937,280,4108029,49605372,samp_1305,1.3740287493458877e-6
samp_4305,127,3905470,49605372,samp_1305,6.555437845066598e-7
samp_4344,251,4351921,49605372,samp_1305,1.1626901883721546e-6
samp_4380,440,4773271,49605372,samp_1305,1.858265969592909e-6
samp_468,366,4238051,49605372,samp_1305,1.740949589283636e-6
samp_471,288,4577490,49605372,samp_1305,1.268341996342218e-6
samp_477,385,4344744,49605372,samp_1305,1.7863552329151329e-6
samp_481,822,3602070,49605372,samp_1305,4.600350887722234e-6
samp_507,353,3568765,49605372,samp_1305,1.9940132671433983e-6
samp_2059,2754,3786874,48347520,samp_1306,1.504211411372592e-5
samp_2073,211,4337595,48347520,samp_1306,1.0061419433558754e-6
samp_3937,242,4108029,48347520,samp_1306,1.2184498630583769e-6
samp_4305,196,3905470,48347520,samp_1306,1.038026793198538e-6
samp_4344,271,4351921,48347520,samp_1306,1.2879947301022394e-6
samp_4380,871,4773271,48347520,samp_1306,3.7742256461295942e-06
samp_468,423,4238051,48347520,samp_1306,2.0644291703345003e-6
samp_471,316,4577490,48347520,samp_1306,1.427859504246688e-6
samp_477,360,4344744,48347520,samp_1306,1.713815660067252e-6
samp_481,830,3602070,48347520,samp_1306,4.7659748068719155e-6
samp_507,377,3568765,48347520,samp_1306,2.184988711027079e-6
samp_2059,14878,3786874,45778054,samp_1307,8.582352972604437e-5
samp_2073,4039,4337595,45778054,samp_1307,2.0340776431608408e-5
samp_3937,10727,4108029,45778054,samp_1307,5.7041042305892694e-5
samp_4305,12104,3905470,45778054,samp_1307,6.770149855678987e-5
samp_4344,10597,4351921,45778054,samp_1307,5.319178985391075e-5
samp_4380,14728,4773271,45778054,samp_1307,6.74016233417456e-5
samp_468,10096,4238051,45778054,samp_1307,5.203862779661667e-5
samp_471,4876,4577490,45778054,samp_1307,2.3269066760138992e-5
samp_477,6184,4344744,45778054,samp_1307,3.10919500737156e-5
samp_481,635,3602070,45778054,samp_1307,3.850917812339517e-6
samp_507,13785,3568765,45778054,samp_1307,8.437844009994814e-5
samp_2059,2914,3786874,46757390,samp_1308,1.6457294144947184e-5
samp_2073,127,4337595,46757390,samp_1308,6.261875959709643e-7
samp_3937,232,4108029,46757390,samp_1308,1.2078255805430224e-6
samp_4305,155,3905470,46757390,samp_1308,8.488053949298925e-7
samp_4344,319,4351921,46757390,samp_1308,1.5676872245020727e-6
samp_4380,1093,4773271,46757390,samp_1308,4.897267301362342e-6
samp_468,657,4238051,46757390,samp_1308,3.3154992201856827e-6
samp_471,289,4577490,46757390,samp_1308,1.3502686289167896e-6
samp_477,343,4344744,46757390,samp_1308,1.6884168088595923e-6
samp_481,663,3602070,46757390,samp_1308,3.936507826643998e-6
samp_507,376,3568765,46757390,samp_1308,2.253303198196023e-6
samp_2059,9283,3786874,42189046,samp_1309,5.8104235354315624e-5
samp_2073,4063,4337595,42189046,samp_1309,2.220230772495238e-5
samp_3937,11957,4108029,42189046,samp_1309,6.899045726976315e-5
samp_4305,7795,3905470,42189046,samp_1309,4.730892812828877e-5
samp_4344,15066,4351921,42189046,samp_1309,8.20573060693199e-5
samp_4380,18235,4773271,42189046,samp_1309,9.055031610211018e-5
samp_468,6304,4238051,42189046,samp_1309,3.5257403088344886e-5
samp_471,6767,4577490,42189046,samp_1309,3.504040097592021e-5
samp_477,5898,4344744,42189046,samp_1309,3.217665330083178e-5
samp_481,645,3602070,42189046,samp_1309,4.244317471323499e-6
samp_507,21561,3568765,42189046,samp_1309,1.4320271225617672e-4
samp_2059,2693,3786874,47842678,samp_1310,1.486414786418795e-5
samp_2073,295,4337595,47842678,samp_1310,1.4215349278837885e-6
samp_3937,444,4108029,47842678,samp_1310,2.25909236601015e-6
samp_4305,146,3905470,47842678,samp_1310,7.81383197868592e-7
samp_4344,408,4351921,47842678,samp_1310,1.9595830700501563e-6
samp_4380,771,4773271,47842678,samp_1310,3.376158325868316e-6
samp_468,173,4238051,47842678,samp_1310,8.532267113749396e-7
samp_471,418,4577490,47842678,samp_1310,1.9086812016287707e-6
samp_477,661,4344744,47842678,samp_1310,3.179960943601855e-6
samp_481,1293,3602070,47842678,samp_1310,7.502930009782705e-6
samp_507,502,3568765,47842678,samp_1310,2.940155396157027e-6
samp_2059,14331,3786874,40280168,samp_1311,9.395164046639004e-5
samp_2073,5764,4337595,40280168,samp_1311,3.2990105112327026e-5
samp_3937,20610,4108029,40280168,samp_1311,1.24552720462342e-4
samp_4305,15998,3905470,40280168,samp_1311,1.0169535415969888e-4
samp_4344,20358,4351921,40280168,samp_1311,1.161349223084192e-4
samp_4380,27031,4773271,40280168,samp_1311,1.4059010244218536e-4
samp_468,12114,4238051,40280168,samp_1311,7.096269774764397e-5
samp_471,6127,4577490,40280168,samp_1311,3.322991289589545e-5
samp_477,8954,4344744,40280168,samp_1311,5.116366240738198e-5
samp_481,1177,3602070,40280168,samp_1311,8.112095248033135e-6
samp_507,24077,3568765,40280168,samp_1311,1.67491645219088e-4
samp_2059,2650,3786874,48938212,samp_1312,1.4299370560060684e-5
samp_2073,282,4337595,48938212,samp_1312,1.3284707930558168e-6
samp_3937,351,4108029,48938212,samp_1312,1.745924734697611e-6
samp_4305,111,3905470,48938212,samp_1312,5.807665233072255e-7
samp_4344,395,4351921,48938212,samp_1312,1.85467575432866e-6
samp_4380,1228,4773271,48938212,samp_1312,5.25695400110863e-6
samp_468,169,4238051,48938212,samp_1312,8.148401649145221e-7
samp_471,465,4577490,48938212,samp_1312,2.0757614906505403e-6
samp_477,542,4344744,48938212,samp_1312,2.5491007245675624e-6
samp_481,997,3602070,48938212,samp_1312,5.655811309596402e-6
samp_507,462,3568765,48938212,samp_1312,2.6453060584644164e-6
samp_2059,11479,3786874,46760082,samp_1313,6.482580770869839e-5
samp_2073,5148,4337595,46760082,samp_1313,2.5381324087347612e-5
samp_3937,20189,4108029,46760082,samp_1313,1.0510080517961876e-4
samp_4305,9198,3905470,46760082,samp_1313,5.0366855173713167e-5
samp_4344,22406,4351921,46760082,samp_1313,1.1010525941949382e-4
samp_4380,29402,4773271,46760082,samp_1313,1.3173025036948392e-4
samp_468,12178,4238051,46760082,samp_1313,6.145178847706156e-5
samp_471,6205,4577490,46760082,samp_1313,2.89893927093942e-5
samp_477,9025,4344744,46760082,samp_1313,4.442298671518271e-5
samp_481,2331,3602070,46760082,samp_1313,1.3839323495126942e-5
samp_507,30049,3568765,46760082,samp_1313,1.8006811099536e-4
samp_2059,2138,3786874,45635074,samp_1314,1.2371663147009205e-5
samp_2073,218,4337595,45635074,samp_1314,1.1013078501163836e-6
samp_3937,312,4108029,45635074,samp_1314,1.6642644413310583e-6
samp_4305,172,3905470,45635074,samp_1314,9.650645918917333e-7
samp_4344,325,4351921,45635074,samp_1314,1.6364532344492204e-6
samp_4380,2968,4773271,45635074,samp_1314,1.362539325162582e-5
samp_468,196,4238051,45635074,samp_1314,1.013423879926393e-6
samp_471,382,4577490,45635074,samp_1314,1.8286778293644496e-6
samp_477,487,4344744,45635074,samp_1314,2.456212911476145e-6
samp_481,721,3602070,45635074,samp_1314,4.386158861807544e-6
samp_507,450,3568765,45635074,samp_1314,2.7630949154531856e-6
samp_2059,38851,3786874,48898332,samp_1315,2.098105400736542e-4
samp_2073,4263,4337595,48898332,samp_1315,2.009889994062492e-5
samp_3937,17275,4108029,48898332,samp_1315,8.599842754523135e-5
samp_4305,33740,3905470,48898332,samp_1315,1.766760687968022e-4
samp_4344,19602,4351921,48898332,samp_1315,9.211393534970552e-5
samp_4380,24294,4773271,48898332,samp_1315,1.040851782614406e-4
samp_468,35231,4238051,48898332,samp_1315,1.7000619483803657e-4
samp_471,6173,4577490,48898332,samp_1315,2.7578765866563703e-5
samp_477,5770,4344744,48898332,samp_1315,2.715923770167109e-5
samp_481,974,3602070,48898332,samp_1315,5.529842521256882e-6
samp_507,22193,3568765,48898332,samp_1315,1.2717566500980727e-4
samp_2059,2941,3786874,50877854,samp_1316,1.5264598463282252e-5
samp_2073,211,4337595,50877854,samp_1316,9.561029781098289e-7
samp_3937,303,4108029,50877854,samp_1316,1.4497073574310828e-6
samp_4305,201,3905470,50877854,samp_1316,1.0115654010514805e-6
samp_4344,310,4351921,50877854,samp_1316,1.4000769511172415e-6
samp_4380,4380,4773271,50877854,samp_1316,1.8035543482555773e-5
samp_468,453,4238051,50877854,samp_1316,2.100889636105586e-6
samp_471,302,4577490,50877854,samp_1316,1.2967335698802785e-6
samp_477,480,4344744,50877854,samp_1316,2.1714421341071677e-6
samp_481,1016,3602070,50877854,samp_1316,5.5438666438357325e-6
samp_507,415,3568765,50877854,samp_1316,2.285605966020671e-6
samp_2059,25434,3786874,45120420,samp_1317,1.488540578275756e-4
samp_2073,5371,4337595,45120420,samp_1317,2.7443090585930356e-5
samp_3937,27840,4108029,45120420,samp_1317,1.5019746284655996e-4
samp_4305,31774,3905470,45120420,samp_1317,1.803123408484255e-4
samp_4344,34435,4351921,45120420,samp_1317,1.753662239431461e-4
samp_4380,37925,4773271,45120420,samp_1317,1.760906773256805e-4
samp_468,57685,4238051,45120420,samp_1317,3.0166406900219116e-4
samp_471,5825,4577490,45120420,samp_1317,2.8203005486801044e-5
samp_477,12440,4344744,45120420,samp_1317,6.345751405372548e-5
samp_481,5838,3602070,45120420,samp_1317,3.592020517957852e-5
samp_507,46450,3568765,45120420,samp_1317,2.884660008565056e-4
samp_2059,2942,3786874,51372378,samp_1318,1.5122797742237593e-5
samp_2073,340,4337595,51372378,samp_1318,1.5258092660103592e-6
samp_3937,367,4108029,51372378,samp_1318,1.7390132620594755e-6
samp_4305,373,3905470,51372378,samp_1318,1.8591132933715412e-6
samp_4344,346,4351921,51372378,samp_1318,1.5476238941697313e-6
samp_4380,1430,4773271,51372378,samp_1318,5.831634224990325e-6
samp_468,368,4238051,51372378,samp_1318,1.6902539930693134e-6
samp_471,520,4577490,51372378,samp_1318,2.211292892254274e-6
samp_477,638,4344744,51372378,samp_1318,2.858425102337127e-6
samp_481,1032,3602070,51372378,samp_1318,5.576964493604584e-6
samp_507,419,3568765,51372378,samp_1318,2.2854219939002506e-6
samp_2059,42591,3786874,47462450,samp_1319,2.369664319093915e-4
